day hour context tick age_infector age id_infector id
 0 0 "household" 0 7 57 170 167
 0 0 "household" 0 1 52 567 568
 0 0 "household" 0 73 1 452 454
 0 0 "household" 0 4 3 159 162
 0 0 "household" 0 5 26 251 254
 0 0 "household" 0 77 22 370 367
 0 0 "household" 0 56 25 426 425
 0 0 "household" 0 6 26 636 635
 0 1 "household" 1 28 12 644 643
 0 1 "household" 1 13 5 228 229
 0 1 "household" 1 7 62 196 195
 0 1 "household" 1 5 23 311 313
 0 1 "household" 1 5 59 251 252
 0 2 "household" 2 35 44 464 463
 0 2 "household" 2 63 17 324 325
 0 3 "household" 3 3 76 536 538
 0 3 "household" 3 63 52 581 579
 0 3 "household" 3 13 16 618 615
 0 4 "household" 4 32 5 574 573
 0 4 "household" 4 25 9 430 428
 0 4 "household" 4 73 5 587 590
 0 4 "household" 4 10 13 362 360
 0 4 "household" 4 7 69 526 525
 0 4 "household" 4 66 28 222 221
 0 4 "household" 4 1 42 567 570
 0 5 "household" 5 25 4 629 628
 0 5 "household" 5 13 58 478 475
 0 5 "household" 5 16 53 507 508
 0 6 "household" 6 5 9 251 253
 0 6 "household" 6 53 0 508 509
 0 6 "household" 6 10 34 484 485
 0 6 "household" 6 1 11 269 270
 0 7 "household" 7 34 53 485 486
 0 7 "household" 7 44 5 286 284
 0 8 "community" 8 14 11 529 530
 0 11 "community" 11 7 9 196 523
 0 16 "community" 16 58 34 475 306
 0 21 "household" 21 47 6 532 531
 0 21 "household" 21 64 4 472 473
 0 21 "household" 21 50 10 247 249
 0 21 "household" 21 1 53 515 518
 0 22 "household" 22 26 29 366 364
 0 22 "household" 22 6 15 531 534
 0 22 "household" 22 7 52 265 264
 0 22 "household" 22 26 68 656 657
 0 23 "household" 23 13 55 542 541
 1 0 "community" 24 10 75 249 184
 1 8 "workplace" 32 56 71 426 143
 1 8 "school" 32 7 7 526 392
 1 8 "school" 32 0 15 502 466
 1 8 "school" 32 13 8 496 474
 1 8 "school" 32 5 11 590 213
 1 8 "school" 32 10 10 256 641
 1 8 "school" 32 8 8 438 402
 1 8 "workplace" 32 63 72 581 511
 1 8 "school" 32 7 17 423 512
 1 8 "school" 32 10 4 178 648
 1 9 "workplace" 33 31 49 267 544
 1 9 "school" 33 10 9 192 329
 1 9 "workplace" 33 76 44 382 505
 1 9 "workplace" 33 63 20 581 606
 1 9 "school" 33 8 0 332 504
 1 9 "school" 33 4 17 473 345
 1 9 "school" 33 12 16 240 416
 1 9 "school" 33 4 9 159 650
 1 9 "school" 33 8 9 289 604
 1 9 "workplace" 33 35 62 464 161
 1 9 "school" 33 7 7 265 405
 1 9 "school" 33 3 10 207 339
 1 9 "school" 33 3 4 207 546
 1 9 "school" 33 17 1 548 608
 1 9 "school" 33 16 9 615 625
 1 9 "workplace" 33 78 20 571 559
 1 10 "school" 34 8 16 474 520
 1 10 "school" 34 12 11 240 543
 1 10 "school" 34 3 0 536 373
 1 10 "school" 34 3 17 536 586
 1 10 "school" 34 10 2 641 191
 1 10 "workplace" 34 55 66 541 333
 1 10 "workplace" 34 78 52 571 283
 1 11 "school" 35 6 17 462 419
 1 11 "school" 35 9 13 428 408
 1 11 "school" 35 13 15 360 563
 1 11 "school" 35 8 2 474 539
 1 11 "workplace" 35 29 20 318 445
 1 11 "school" 35 1 4 515 400
 1 11 "school" 35 11 6 270 560
 1 11 "workplace" 35 67 63 481 627
 1 11 "school" 35 16 6 416 383
 1 11 "school" 35 9 16 650 630
 1 12 "workplace" 36 55 28 541 300
 1 12 "school" 36 7 2 526 334
 1 12 "school" 36 11 8 543 217
 1 12 "school" 36 7 5 238 655
 1 12 "school" 36 7 15 170 380
 1 12 "workplace" 36 23 54 470 524
 1 12 "school" 36 4 4 648 550
 1 12 "school" 36 4 2 648 319
 1 12 "workplace" 36 77 45 370 500
 1 12 "school" 36 2 15 191 420
 1 12 "school" 36 0 7 373 443
 1 13 "school" 37 6 15 383 417
 1 13 "school" 37 7 11 369 622
 1 13 "school" 37 7 16 196 139
 1 13 "workplace" 37 29 68 318 595
 1 13 "workplace" 37 46 40 179 189
 1 13 "school" 37 11 6 213 290
 1 13 "workplace" 37 76 77 461 294
 1 13 "school" 37 17 4 325 598
 1 13 "school" 37 12 14 240 142
 1 13 "school" 37 12 9 240 537
 1 14 "school" 38 7 6 405 147
 1 14 "school" 38 14 1 278 279
 1 14 "school" 38 5 1 251 460
 1 14 "workplace" 38 20 79 559 395
 1 14 "school" 38 13 13 360 303
 1 14 "school" 38 17 0 203 344
 1 14 "school" 38 6 6 290 521
 1 14 "school" 38 2 5 334 398
 1 14 "school" 38 12 3 240 220
 1 14 "workplace" 38 25 72 498 457
 1 14 "school" 38 13 10 436 301
 1 15 "school" 39 15 11 563 480
 1 15 "school" 39 10 1 301 576
 1 15 "workplace" 39 61 64 226 471
 1 15 "workplace" 39 72 29 647 501
 1 15 "school" 39 5 11 229 201
 1 15 "school" 39 11 8 543 215
 1 16 "workplace" 40 58 72 475 440
 1 16 "school" 40 16 2 416 569
 1 16 "school" 40 16 14 416 158
 1 16 "school" 40 2 10 334 557
 1 16 "workplace" 40 23 28 313 528
 1 16 "school" 40 2 6 191 293
 1 16 "workplace" 40 72 29 431 621
 1 16 "school" 40 12 11 262 347
 1 16 "workplace" 40 71 70 143 393
 1 17 "community" 41 11 8 347 349
 1 17 "community" 41 7 6 405 404
 1 21 "household" 45 20 4 445 446
 1 21 "household" 45 76 47 382 381
 1 21 "household" 45 50 79 247 250
 1 22 "household" 46 2 64 191 193
 1 22 "household" 46 16 61 520 522
 1 22 "household" 46 44 64 505 506
 1 23 "household" 47 15 19 563 564
 1 23 "household" 47 11 30 543 545
 1 23 "household" 47 34 11 565 566
 2 0 "community" 48 2 43 319 320
 2 0 "community" 48 8 15 307 309
 2 8 "school" 56 5 13 482 477
 2 8 "workplace" 56 77 68 370 281
 2 8 "school" 56 14 2 278 357
 2 8 "school" 56 0 8 509 467
 2 8 "school" 56 12 4 240 223
 2 9 "school" 57 4 11 400 152
 2 9 "workplace" 57 44 57 505 352
 2 9 "workplace" 57 74 27 246 204
 2 9 "school" 57 7 6 238 275
 2 9 "school" 57 5 10 655 427
 2 9 "school" 57 10 11 249 190
 2 9 "workplace" 57 36 64 632 575
 2 10 "school" 58 1 5 323 173
 2 10 "school" 58 1 4 323 171
 2 10 "workplace" 58 25 51 629 513
 2 10 "workplace" 58 63 74 581 491
 2 10 "workplace" 58 73 76 587 321
 2 11 "school" 59 15 4 563 183
 2 11 "workplace" 59 54 31 524 331
 2 11 "workplace" 59 72 19 457 605
 2 11 "school" 59 17 4 325 651
 2 11 "school" 59 9 2 650 439
 2 11 "workplace" 59 64 26 471 435
 2 11 "workplace" 59 47 70 381 216
 2 11 "school" 59 17 13 345 597
 2 11 "school" 59 17 11 548 638
 2 11 "workplace" 59 31 69 209 148
 2 11 "school" 59 13 17 436 315
 2 12 "school" 60 7 12 443 610
 2 12 "workplace" 60 76 78 382 494
 2 12 "school" 60 1 15 448 447
 2 12 "school" 60 7 11 265 304
 2 12 "workplace" 60 28 67 644 287
 2 12 "workplace" 60 28 53 644 305
 2 13 "school" 61 11 13 201 188
 2 13 "workplace" 61 29 18 318 169
 2 13 "workplace" 61 40 21 189 533
 2 13 "workplace" 61 38 32 295 224
