day hour context tick age_infector age id_infector id
 0 1 houses 1 11 30 372 373
 0 5 houses 5 74 13 186 189
 0 8 workplaces 8 72 30 241 297
 0 9 workplaces 9 63 64 651 408
 0 10 schools 10 9 17 349 193
 0 10 workplaces 10 43 50 505 438
 0 10 workplaces 10 57 70 577 258
 0 12 schools 12 8 16 486 301
 0 12 workplaces 12 78 78 239 387
 0 14 schools 14 6 12 378 159
 0 16 schools 16 0 17 638 542
 0 23 houses 23 12 66 159 160
 1 1 houses 25 9 2 349 347
 1 3 houses 27 74 16 186 187
 1 4 houses 28 11 78 225 224
 1 4 houses 28 39 1 632 631
 1 5 houses 29 77 0 635 636
 1 8 workplaces 32 74 22 186 466
 1 9 schools 33 17 14 542 500
 1 9 schools 33 17 17 296 336
 1 9 schools 33 1 9 338 238
 1 9 schools 33 1 11 338 575
 1 9 schools 33 11 6 633 616
 1 10 schools 34 17 12 336 521
 1 10 schools 34 9 17 349 284
 1 10 schools 34 3 10 506 375
 1 11 schools 35 17 14 284 169
 1 13 schools 37 5 10 437 574
 1 13 schools 37 12 3 552 462
 1 15 schools 39 1 11 631 180
 1 15 schools 39 12 17 397 624
 1 15 schools 39 9 9 349 596
 1 15 schools 39 9 9 349 441
 1 16 schools 40 9 9 441 499
 1 16 workplaces 40 18 74 567 487
 1 16 schools 40 12 5 552 459
 1 18 houses 42 24 11 232 233
 2 3 houses 51 17 30 542 543
 2 3 houses 51 37 4 588 586
 2 3 houses 51 5 15 459 461
 2 5 houses 53 3 54 506 509
 2 5 houses 53 30 37 543 545
 2 8 workplaces 56 37 57 545 473
 2 8 schools 56 11 7 575 175
 2 8 schools 56 9 6 236 623
 2 8 schools 56 17 10 193 436
 2 8 schools 56 6 2 245 183
 2 8 schools 56 11 2 633 573
 2 8 schools 56 9 5 596 485
 2 8 schools 56 9 14 596 278
 2 8 workplaces 56 66 69 160 549
 2 9 workplaces 57 74 44 186 464
 2 9 schools 57 4 7 586 391
 2 9 schools 57 4 5 586 221
 2 11 schools 59 2 0 183 340
 2 11 schools 59 4 1 586 657
 2 11 workplaces 59 74 36 487 333
 2 11 schools 59 9 1 349 267
 2 11 schools 59 11 6 575 593
 2 12 schools 60 1 12 631 463
 2 12 schools 60 11 2 575 594
 2 12 schools 60 6 12 623 448
 2 12 schools 60 5 13 221 306
 2 13 workplaces 61 22 52 466 558
 2 13 schools 61 9 8 441 583
